session,label,n_samples,steer_sd,steer_range,steer_vel_sd,steer_vel_mean_abs,reversal_rate,hold_fraction,lf_hf_ratio,steering_entropy,max_abs_steer_rate,steer_rate_kurtosis,large_correction_rate
drive_alert_20260615_132532,alert,300,0.15737387196561214,0.8531299999999999,0.0206265915500964,0.008678411083705463,60.0,0.6889632107023411,0.2504976638441034,0.6225282805649198,0.16071999999999997,24.40267351132668,12.0
drive_alert_20260615_132532,alert,300,0.14962454743822398,0.8531299999999999,0.01429928082231536,0.007051044736825577,64.0,0.6655518394648829,1.1097652507178284,0.6706588803730545,0.10758999999999999,16.248159530614917,4.0
drive_alert_20260615_132532,alert,300,0.14513443580124447,0.6242300000000001,0.01036863488585126,0.006311844887068792,48.0,0.6287625418060201,1.713519501462781,0.6364524421018826,0.04107999999999999,2.9829379667394678,0.0
drive_alert_20260615_132532,alert,300,0.14817848139685766,0.6242300000000001,0.010890677509848857,0.006537648165551895,48.0,0.6287625418060201,1.1747773254417615,0.6325042509853226,0.04107999999999999,2.880157112736229,0.0
drive_alert_20260615_132532,alert,300,0.14440418623650308,0.6242300000000001,0.010299973922632218,0.006165499543350556,36.0,0.6354515050167224,1.8630873060569353,0.612511266660861,0.03924,3.132701771542835,0.0
drive_alert_20260615_132532,alert,300,0.14658227367640864,0.61964,0.010331934194338926,0.006533635346189837,48.0,0.5986622073578596,1.2864971321624032,0.6244245641794911,0.03924,2.9103174343284444,0.0
drive_alert_20260615_132532,alert,300,0.05720269236958073,0.30949,0.007827015960496963,0.004302512573172031,48.0,0.7324414715719063,1.11553010808838,0.5747627632802064,0.03938,7.249456535492245,0.0
drive_alert_20260615_132532,alert,300,0.05822196185529039,0.30949,0.008053428740725338,0.004509645735008352,48.0,0.7157190635451505,0.2361528174410497,0.6001518356503105,0.042539999999999994,6.993317740837121,0.0
drive_alert_20260615_132532,alert,300,0.06035290670157395,0.30949,0.007888182194468397,0.004370992608903384,44.0,0.7424749163879598,0.2742626288453132,0.5796762341734008,0.042539999999999994,7.714178768723853,0.0
drive_alert_20260615_132532,alert,300,0.055345363719616715,0.30949,0.007356916799441604,0.0037010179247476582,36.0,0.7926421404682275,0.44612595829369023,0.5002984042086303,0.042539999999999994,9.937180581637424,0.0
drive_alert_20260615_132532,alert,300,0.04329193659203627,0.25029,0.005794538475930275,0.0027805237950432817,36.0,0.8494983277591973,6.426748989281034,0.4548721430747895,0.042539999999999994,17.006291624044678,0.0
drive_alert_20260615_132532,alert,300,0.0378284044895132,0.16394999999999998,0.004890522568516132,0.00249338785149638,40.0,0.8561872909698997,4.648243573178315,0.4377696636762085,0.022449999999999998,7.598912573275804,0.0
drive_alert_20260615_132532,alert,300,0.03666462730989275,0.16394999999999998,0.004867878844955699,0.0025223621889072637,44.0,0.8494983277591973,1.457444849098308,0.4132510100457359,0.022449999999999998,7.852588027876687,0.0
drive_alert_20260615_132532,alert,300,0.15463160475677884,0.7595799999999999,0.011519446793333747,0.005917103240270117,44.0,0.6889632107023411,3.1615197731284694,0.5236196977423851,0.07356999999999997,9.550255455961347,0.0
drive_alert_20260615_132532,alert,300,0.07264358827269081,0.24601,0.007299083053706525,0.004161808196033096,48.0,0.745819397993311,0.3628024614896229,0.4615142400828827,0.047,8.102516633196991,0.0
drive_alert_20260615_132532,alert,300,0.05180719316422726,0.26058000000000003,0.006089318608724273,0.0035348976581493787,56.0,0.7692307692307693,0.8646580435333304,0.4758135967040975,0.026370000000000005,4.028375732728357,0.0
drive_alert_20260615_132532,alert,300,0.036421776836560595,0.17373,0.005545404645385782,0.0028958281136828687,56.0,0.8127090301003345,0.9414589687392312,0.4304144841311118,0.026370000000000005,6.173742078557522,0.0
drive_alert_20260615_132532,alert,300,0.03950929276658285,0.14021,0.005694274949016583,0.0029185722795656483,52.0,0.802675585284281,1.4181315862000172,0.4085725015911457,0.0334,7.981937844176011,0.0
drive_alert_20260615_132532,alert,300,0.04230734548389126,0.19086,0.005619991796323247,0.002663595626499157,40.0,0.822742474916388,1.0890326873198533,0.3848782790575632,0.0334,10.395295176627785,0.0
drive_alert_20260615_132532,alert,300,0.04267298711908454,0.19086,0.005311328766520751,0.002405548754696308,32.0,0.8494983277591973,0.6712622365296353,0.33995524661392695,0.0334,12.47574994600838,0.0
drive_alert_20260615_132532,alert,300,0.03736180357261797,0.19921,0.007073340195386464,0.0019921834085410315,20.0,0.8896321070234113,0.41657908693973733,0.2849919362128236,0.07820000000000002,64.41166074124993,0.0
